# All functions Ghidra discovered.
# entry                section     size    name
0x000000018008b605  .text            1  FUN_18008b605
0x000000018008b640  .text            1  FUN_18008b640
0x000000018008b840  .text            1  FUN_18008b840
0x000000018008b8d0  .text            1  FUN_18008b8d0
0x000000018008b934  .text            1  FUN_18008b934
0x000000018008ba81  .text            1  FUN_18008ba81
0x000000018008bcc0  .text            1  FUN_18008bcc0
0x000000018008bfb0  .text            1  FUN_18008bfb0
0x000000018008bff7  .text            1  FUN_18008bff7
0x000000018008c07f  .text            1  FUN_18008c07f
0x000000018008c0c0  .text            1  FUN_18008c0c0
0x000000018008c260  .text            1  FUN_18008c260
0x000000018008c300  .text            1  FUN_18008c300
0x000000018008c410  .text            1  FUN_18008c410
0x000000018008c460  .text            1  FUN_18008c460
0x000000018008c4d0  .text            1  FUN_18008c4d0
0x000000018008c511  .text            1  FUN_18008c511
0x000000018008c5ae  .text            1  FUN_18008c5ae
0x000000018008c5d0  .text            1  FUN_18008c5d0
0x000000018008c612  .text            1  FUN_18008c612
0x000000018008c743  .text            1  FUN_18008c743
0x000000018008c760  .text            1  FUN_18008c760
0x000000018008c807  .text            1  FUN_18008c807
0x000000018008c880  .text            1  FUN_18008c880
0x000000018008c8a0  .text            1  FUN_18008c8a0
0x000000018008c920  .text            1  FUN_18008c920
0x000000018008c9b0  .text            1  FUN_18008c9b0
0x000000018008c9dd  .text            1  FUN_18008c9dd
0x000000018008ca6e  .text            1  FUN_18008ca6e
0x000000018008ca80  .text            1  FUN_18008ca80
0x000000018008cac2  .text            1  FUN_18008cac2
0x000000018008cae2  .text            1  FUN_18008cae2
0x000000018008cb3f  .text            1  FUN_18008cb3f
0x000000018008cb47  .text            1  FUN_18008cb47
0x000000018008cb5c  .text            1  FUN_18008cb5c
0x000000018008ccdf  .text            1  FUN_18008ccdf
0x000000018008ccf0  .text            1  FUN_18008ccf0
0x000000018008cd3e  .text            1  FUN_18008cd3e
0x000000018008cfbc  .text            1  FUN_18008cfbc
0x000000018008cfd0  .text            1  FUN_18008cfd0
0x000000018008d079  .text            1  FUN_18008d079
0x000000018008d0ed  .text            1  FUN_18008d0ed
0x000000018008d128  .text            1  FUN_18008d128
0x000000018008d162  .text            1  FUN_18008d162
0x000000018008d1be  .text            1  FUN_18008d1be
0x000000018008d1c6  .text            1  FUN_18008d1c6
0x000000018008d1ce  .text            1  FUN_18008d1ce
0x000000018008d1d6  .text            1  FUN_18008d1d6
0x000000018008d1f3  .text            1  FUN_18008d1f3
0x000000018008d508  .text            1  FUN_18008d508
0x000000018008d516  .text            1  FUN_18008d516
0x000000018008d520  .text            1  FUN_18008d520
0x000000018008d530  .text            1  FUN_18008d530
0x000000018008d600  .text            1  FUN_18008d600
0x000000018008d760  .text            1  FUN_18008d760
0x000000018008d860  .text            1  FUN_18008d860
0x000000018008d890  .text            1  FUN_18008d890
0x000000018008dca0  .text            1  FUN_18008dca0
0x000000018008dcf0  .text            1  FUN_18008dcf0
0x000000018008dd1b  .text            1  FUN_18008dd1b
0x000000018008dd5c  .text            1  FUN_18008dd5c
0x000000018008dd80  .text            1  FUN_18008dd80
0x000000018008ddaa  .text            1  FUN_18008ddaa
0x000000018008dde2  .text            1  FUN_18008dde2
0x000000018008de10  .text            1  FUN_18008de10
0x000000018008deb0  .text            1  FUN_18008deb0
0x000000018008dfc0  .text            1  FUN_18008dfc0
0x000000018008dfe0  .text            1  FUN_18008dfe0
0x000000018008e022  .text            1  FUN_18008e022
0x000000018008e061  .text            1  FUN_18008e061
0x000000018008e115  .text            1  FUN_18008e115
0x000000018008e130  .text            1  FUN_18008e130
0x000000018008e168  .text            1  FUN_18008e168
0x000000018008e1ef  .text            1  FUN_18008e1ef
0x000000018008e273  .text            1  FUN_18008e273
0x000000018008e290  .text            1  FUN_18008e290
0x000000018008e460  .text            1  FUN_18008e460
0x000000018008e490  .text            1  FUN_18008e490
0x000000018008e515  .text            1  FUN_18008e515
0x000000018008e57e  .text            1  FUN_18008e57e
0x000000018008e723  .text            1  FUN_18008e723
0x000000018008e7aa  .text            1  FUN_18008e7aa
0x000000018008e7c0  .text            1  FUN_18008e7c0
0x000000018008ee20  .text            1  FUN_18008ee20
0x000000018008ee42  .text            1  FUN_18008ee42
